annotator	annotation_id	instance_id	repository	assignment	method_a	method_b	objective_outcome	window_preference_label	preferred_method	confidence	rationale
A	WIN-001	astropy__astropy-14598	astropy/astropy	仅学生A	MURAL_2src	BM25_projection	neither	窗口A	MURAL_2src	4	官方补丁与窗口核对实体有依据但仍有歧义。
A	WIN-002	django__django-15572	django/django	共同标注	MURAL_2src	BM25_projection	MURAL_2src_only	窗口A	MURAL_2src	5	官方补丁与窗口函数补丁和代码证据直接、明确。
B	WIN-002	django__django-15572	django/django	共同标注	MURAL_2src	BM25_projection	MURAL_2src_only	窗口A	MURAL_2src	5	"补丁修改django/template/autoreload.py中get_template_directories函数，窗口A位置4明确包含该编辑实体且含template_changed/watch_for_template_changes/reset_loaders等同模块支持实体；窗口B完全缺失autoreload.py任何实体，被""string""""template""症状词误导至StringAgg/NowNode/value_to_string等无关方法"
A	WIN-003	sphinx-doc__sphinx-9367	sphinx-doc/sphinx	仅学生A	BM25_projection	MURAL_2src	neither	基本相当	Comparable	5	两个窗口覆盖和噪声接近，各窗口总体完整性基本相当。
B	WIN-004	sympy__sympy-24661	sympy/sympy	仅学生B	BM25_projection	MURAL_2src	both	窗口B	MURAL_2src	4	补丁为EvaluateFalseTransformer添加visit_Compare，窗口B含该类visit_BinOp/flatten方法及同模块函数，上下文正确；窗口A仅含parse_expr入口却被stats/rv中evaluate参数误导为大量噪声
A	WIN-005	pydata__xarray-4356	pydata/xarray	仅学生A	MURAL_2src	BM25_projection	BM25_projection_only	窗口B	BM25_projection	5	官方补丁核对窗口A源文件索引有误
A	WIN-006	pallets__flask-5014	pallets/flask	共同标注	MURAL_2src	BM25_projection	both	基本相当	Comparable	5	两个窗口覆盖和噪声接近，各窗口总体完整性基本相当。
B	WIN-006	pallets__flask-5014	pallets/flask	共同标注	MURAL_2src	BM25_projection	both	基本相当	Comparable	4	两窗口均含补丁编辑目标Blueprint.__init__及完整Blueprint类方法集，内容高度重叠(17/20相同)，少数差异实体均为低影响支持项，完整性和噪声无实质区分度
A	WIN-007	mwaskom__seaborn-3187	mwaskom/seaborn	共同标注	BM25_projection	MURAL_2src	MURAL_2src_only	两者都不足	Both insufficient	5	官方补丁核对窗口源文件索引有误
B	WIN-007	mwaskom__seaborn-3187	mwaskom/seaborn	共同标注	BM25_projection	MURAL_2src	MURAL_2src_only	两者都不足	Both insufficient	4	补丁核心修改scales.py的Continuous.label方法及utils.py的get_view_interval函数，两窗口均缺失scales.py编辑实体；窗口B虽含utils/locator_to_legend_entries等邻近实体但仍不完整，属legends症状词误导至图例外围而漏掉刻度标签生成层
B	WIN-008	django__django-16631	django/django	仅学生B	MURAL_2src	BM25_projection	MURAL_2src_only	窗口A	MURAL_2src	4	补丁修改get_session_auth_hash(base_user.py)和get_user(auth/init.py)，窗口A包含get_session_auth_hash及salted_hmac/SECRET_KEY_FALLBACKS等关键支持实体，窗口B仅含session后端基础设施而完全缺失两个编辑目标，属症状词(session)误导至sessions/backends模块
B	WIN-009	django__django-16642	django/django	仅学生B	BM25_projection	MURAL_2src	MURAL_2src_only	窗口B	MURAL_2src	5	"补丁修改django/http/response.py中FileResponse.set_headers方法，窗口B位置6明确包含该编辑实体且FileResponse.__init__等提供完整上下文；窗口A完全缺失http/response.py，仅命中security checks和mail等含""content_type""词汇的无关模块，属典型症状词误导"
B	WIN-010	django__django-11880	django/django	仅学生B	MURAL_2src	BM25_projection	MURAL_2src_only	窗口A	MURAL_2src	5	"补丁修改Field.__deepcopy__添加error_messages深拷贝，窗口A位置9明确包含该实体且含ChoiceField/MultiValueField的__deepcopy__作为支持上下文；窗口B完全缺失__deepcopy__方法，被""error_messages""症状词误导仅命中各字段的default_error_messages字典"
A	WIN-011	mwaskom__seaborn-3069	mwaskom/seaborn	共同标注	BM25_projection	MURAL_2src	both	窗口B	MURAL_2src	5	官方补丁核对窗口A源文件索引有误
B	WIN-011	mwaskom__seaborn-3069	mwaskom/seaborn	共同标注	BM25_projection	MURAL_2src	both	两者都不足	Both insufficient	4	补丁主要修改Plotter._finalize_figure(添加Nominal轴网格/限界/反转逻辑)及Plotter._setup_scales(移除嵌套import)。两窗口均包含_setup_scales与Nominal类方法，但核心编辑实体_finalize_figure在两个Top-20中均缺失，属排序截断导致关键实体落选。窗口B噪声更低但关键实体缺失使得两者均不足以支撑修复
A	WIN-012	sympy__sympy-19495	sympy/sympy	仅学生A	BM25_projection	MURAL_2src	MURAL_2src_only	窗口A	BM25_projection	5	相关实体存在但排在 Top-20 之外被噪声挤出
B	WIN-013	django__django-15973	django/django	仅学生B	MURAL_2src	BM25_projection	BM25_projection_only	窗口B	BM25_projection	5	补丁修改django/db/migrations/autodetector.py中_get_dependencies_for_foreign_key，窗口B位置9明确包含该编辑实体且含同模块_generate_added_field及state.py等支持上下文；窗口A仅含同模块_generate_added_field而缺失目标函数，属排序截断
B	WIN-014	django__django-15503	django/django	仅学生B	MURAL_2src	BM25_projection	MURAL_2src_only	窗口A	MURAL_2src	5	"补丁修改json.py中HasKeyLookup等类，窗口A含HasKeyLookup.as_sql/as_sqlite/as_oracle及KeyTransformNumericLookupMixin等编辑实体；窗口B完全缺失json.py任何实体，被""has_key""症状词误导至cache/sessions的has_key方法和大量postgres operations"
A	WIN-015	pytest-dev__pytest-8399	pytest-dev/pytest	共同标注	MURAL_2src	BM25_projection	BM25_projection_only	两者都不足	Both insufficient	3	窗口函数边界、类归属、别名或语言解析造成错误。
B	WIN-015	pytest-dev__pytest-8399	pytest-dev/pytest	共同标注	MURAL_2src	BM25_projection	BM25_projection_only	窗口B	BM25_projection	4	补丁核心编辑_unittest_的_inject_setup_teardown_fixtures两窗口均含；窗口B的fixture基础设施(mak_xunit_fixture等)上下文更密集，窗口A混入pytester和testing/collect噪声；python.py编辑实体均缺失致完整性不足
A	WIN-016	astropy__astropy-12907	astropy/astropy	仅学生A	MURAL_2src	BM25_projection	neither	窗口B	BM25_projection	5	窗口A中函数边界、类归属、语言解析造成错误。
A	WIN-017	astropy__astropy-8707	astropy/astropy	共同标注	MURAL_2src	BM25_projection	both	窗口A	MURAL_2src	5	相关实体存在但排在 Top-20 之外被噪声挤出
B	WIN-017	astropy__astropy-8707	astropy/astropy	共同标注	MURAL_2src	BM25_projection	both	窗口A	MURAL_2src	4	补丁主要修改Header.fromstring，两窗口均含此实体；窗口A多含_from_blocks/fromfile等header.py内部上下文，窗口B被bytes误导至table HDU和character_as_bytes噪声，A更完整。
A	WIN-018	sympy__sympy-21930	sympy/sympy	仅学生A	MURAL_2src	BM25_projection	MURAL_2src_only	窗口A	MURAL_2src	5	官方补丁核对窗口B源文件索引有误
B	WIN-019	django__django-13363	django/django	仅学生B	MURAL_2src	BM25_projection	MURAL_2src_only	窗口A	MURAL_2src	5	补丁修改TruncDate.as_sql和TruncTime.as_sql，窗口A明确包含两者(位置14和18)及TruncBase.__init__等支持实体；窗口B被问题描述中DateTimeField/DateField等词汇误导至fields/init.py和forms/fields.py，仅含Now.output_field从datetime模块，完全缺失编辑目标
B	WIN-020	django__django-12713	django/django	仅学生B	BM25_projection	MURAL_2src	MURAL_2src_only	窗口B	MURAL_2src	5	"补丁修改formfield_for_manytomany(仅窗口B位置4)，窗口A被""widget""症状词误导至forms/fields.py的Widget配置及Query方法，完全缺失编辑目标"
B	WIN-021	django__django-13449	django/django	仅学生B	BM25_projection	MURAL_2src	both	窗口A	BM25_projection	4	补丁修改expressions.py中Window类(继承SQLiteNumericMixin并新增as_sqlite方法)，窗口A包含Window.init(位置14)及SQLiteNumericMixin.as_sqlite(位置6)等关键实体；窗口B虽含SQLiteNumericMixin.as_sqlite但Window类完全缺失，且两窗口均被SQLite/DecimalField等词汇拖入大量backend噪声，A因包含编辑目标类而完整性明显更优
