annotator	annotation_id	instance_id	mapping_label	missing_entity	extra_entity	confidence	changed_region_record	rationale
A	GT-047	psf__requests-1724	部分正确	是	否	5	requests/sessions.py::模块级导入 requests/sessions.py::requests.sessions.Session.request	补丁包含两处实际变更行：(1)第12行导入语句-from .compat import cookielib, OrderedDict, urljoin, urlparse, urlunparse和+from .compat import cookielib, OrderedDict, urljoin, urlparse, urlunparse, builtin_str，按A-3规则属于模块级导入编辑实体；(2)第312行在Session.request方法体内新增+method = builtin_str(method)，属于方法体修改。自动映射仅覆盖Session.request方法，遗漏了模块级导入实体
A	GT-046	pallets__flask-5014	正确	否	否	5	src/flask/blueprints.py::flask.blueprints.Blueprint.init	补丁仅在Blueprint.__init__方法体内新增两行空名称校验（+if not name:和+raise ValueError(…)），无导入变更、无新增/删除方法或类
A	GT-053	sympy__sympy-22080	部分正确	是	否	5	sympy/printing/codeprinter.py::模块级导入 sympy/printing/codeprinter.py::sympy.printing.codeprinter.CodePrinter._print_Mul sympy/printing/precedence.py::sympy.printing.precedence.PRECEDENCE_VALUES	补丁涉及三个实际编辑实体：(1)codeprinter.py第9行导入语句由from sympy.printing.precedence import precedence变更为from sympy.printing.precedence import precedence, PRECEDENCE（+行），按A-3属于模块级导入编辑；(2)codeprinter.py中CodePrinter._print_Mul方法体新增一元负号优先级的if-else分支（+487~494行）；(3)precedence.py中PRECEDENCE_VALUES字典新增"Mod": PRECEDENCE["Mul"]条目（+43行）。自动映射覆盖了后两个但遗漏了模块级导入实体
A	GT-041	pylint-dev__pylint-4551	部分正确	是	是	5	pylint/pyreverse/diagrams.py::pylint.pyreverse.diagrams.ClassDiagram.class_names pylint/pyreverse/inspector.py::pylint.pyreverse.inspector.Linker.visit_assignname pylint/pyreverse/inspector.py::pylint.pyreverse.inspector.Linker.handle_assignattr_type pylint/pyreverse/utils.py::模块级导入 pylint/pyreverse/utils.py::pylint.pyreverse.utils.get_annotation_label pylint/pyreverse/utils.py::pylint.pyreverse.utils.get_annotation pylint/pyreverse/utils.py::pylint.pyreverse.utils.infer_node pylint/pyreverse/writer.py::模块级导入 pylint/pyreverse/writer.py::pylint.pyreverse.writer.DotWriter.get_values	补丁实际编辑9个实体：(1)diagrams.py中ClassDiagram.class_names的isinstance条件新增astroid.Name和astroid.Subscript（+122行）；(2)inspector.py中Linker.visit_assignname删除try-except包装并改用utils.infer_node(node)（-205~223行/+205~219行）；(3)inspector.py中Linker.handle_assignattr_type同样删除try-except改用utils.infer_node（-229~235行/+225~230行）；(4)utils.py新增导入from typing import Optional, Union和import astroid（+22~24行），按A-3为模块级导入实体；(5)utils.py新增函数get_annotation_label（+220行）；(6)新增函数get_annotation（+227行）；(7)新增函数infer_node（+261行），按A-2均属新增编辑实体；(8)writer.py导入行新增get_annotation_label（+22行），为模块级导入编辑；(9)writer.py中DotWriter.get_values方法体新增类型注解标签生成逻辑（+137~160行）。自动映射将LocalsVisitor.visit列为编辑实体，但补丁未修改该方法——该方法仅作为上下文出现在diff中（@@ -213,3行），实际编辑在其后新增的三个函数，故应删除
A	GT-043	astropy__astropy-14096	正确	否	否	5	astropy/coordinates/sky_coordinate.py::astropy.coordinates.sky_coordinate.SkyCoord.getattr	补丁仅修改SkyCoord.__getattr__方法体尾部：删除原有的raise AttributeError三行，替换为调用self.__getattribute__(attr)。无新增/删除方法或类，无import变更，自动映射覆盖唯一编辑实体SkyCoord.__getattr__，完整正确
A	GT-038	matplotlib__matplotlib-24870	正确	否	否	5	lib/matplotlib/contour.py::matplotlib.contour.ContourSet._process_contour_level_args lib/matplotlib/contour.py::matplotlib.contour.QuadContourSet._contour_args lib/matplotlib/contour.py::matplotlib.contour.QuadContourSet._check_xyz lib/matplotlib/tri/_tricontour.py::matplotlib.tri._tricontour.TriContourSet._contour_args	补丁实际编辑4个实体：(1)ContourSet._process_contour_level_args签名由(self, args)变为(self, args, z_dtype)，方法体内if len(args) == 0改为if args并新增np.issubdtype(z_dtype, bool)分支（+1117~1120行）；(2)QuadContourSet._contour_args方法体多处修改：z = ma.asarray(args[0], dtype=np.float64)改为z, *args = args后z = ma.asarray(z)，调用处改为self._process_contour_level_args(args, z.dtype)（+1452~1467行）；(3)QuadContourSet._check_xyz签名由(self, args, kwargs)变为(self, x, y, z, kwargs)，删除x, y = args[:2]，z = ma.asarray(args[2], dtype=np.float64)改为z = ma.asarray(z)（+1467~1469行）；(4)TriContourSet._contour_args中z = np.ma.asarray(args[0])改为z, *args = args后z = np.ma.asarray(z)，调用处改为self._process_contour_level_args(args, z.dtype)（+53~75行）。自动映射覆盖全部4个实体，无遗漏无多余
A	GT-018	sympy__sympy-19346	部分正确	是	是	5	sympy/printing/repr.py::sympy.printing.repr.ReprPrinter._print_dict sympy/printing/repr.py::sympy.printing.repr.ReprPrinter._print_set	补丁仅新增两个方法_print_dict（+147~150行）和_print_set（+152~155行），均属于ReprPrinter类。按A-2规则，新增方法本身即为编辑实体，应以方法级全限定名列出；ReprPrinter类本身未被新增或删除，不应作为编辑实体。自动映射将整个类列为编辑实体粒度错误，遗漏了两个具体新增方法
A	GT-042	pytest-dev__pytest-8399	正确	否	否	5	src/_pytest/python.py::_pytest.python.Module._inject_setup_module_fixture src/_pytest/python.py::_pytest.python.Module._inject_setup_function_fixture src/_pytest/python.py::_pytest.python.Class._inject_setup_class_fixture src/_pytest/python.py::_pytest.python.Class._inject_setup_method_fixture src/_pytest/unittest.py::_pytest.unittest._make_xunit_fixture	补丁在python.py中修改了4个方法的fixture名称字符串（Module._inject_setup_module_fixture第528行、Module._inject_setup_function_fixture第557行、Class._inject_setup_class_fixture第809行、Class._inject_setup_method_fixture第838行），均在name=f"…"前添加下划线前缀；在unittest.py中修改了_make_xunit_fixture函数第144行的name=f"…"同样添加下划线前缀。无import变更、无新增/删除方法或类。自动映射5个实体与补丁实际编辑的5个实体一一对应，完整正确
A	GT-029	psf__requests-2931	正确	否	否	5	requests/models.py::requests.models.RequestEncodingMixin._encode_params requests/models.py::requests.models.PreparedRequest.prepare_url	补丁仅涉及两处方法体修改：(1)RequestEncodingMixin._encode_params第81行将return to_native_string(data)替换为return data（-/+行），移除了对to_native_string的调用；(2)PreparedRequest.prepare_url第385行新增if isinstance(params, (str, bytes)): params = to_native_string(params)三行（+行），将to_native_string调用迁移至此。无import变更、无新增/删除方法或类。自动映射覆盖全部两个编辑实体，完整正确
A	GT-033	scikit-learn__scikit-learn-10297	正确	否	否	5	sklearn/linear_model/ridge.py::sklearn.linear_model.ridge.RidgeCV sklearn/linear_model/ridge.py::sklearn.linear_model.ridge.RidgeClassifierCV sklearn/linear_model/ridge.py::sklearn.linear_model.ridge.RidgeClassifierCV.init	补丁涉及三处实际编辑：(1)RidgeCV类文档字符串中store_cv_values参数与cv_values_属性描述的反引号从单引号改为双引号（-/+行1212~1220），属于对RidgeCV类的编辑；(2)RidgeClassifierCV类文档字符串新增store_cv_values参数描述段落并修改cv_values_属性描述（+/-行1301~1319），属于对RidgeClassifierCV类的编辑；(3)RidgeClassifierCV.__init__方法签名新增store_cv_values=False参数并在super().__init__()调用中传递该参数（+/-行1338~1341），属于方法签名与调用修改
A	GT-044	django__django-14311	正确	否	否	5	django/utils/autoreload.py::django.utils.autoreload.get_child_arguments	补丁仅修改get_child_arguments函数体内部（+223~228行），将原先直接使用__main__.__spec__.parent作为-m参数的逻辑替换为：先获取spec = __main__.__spec__，再判断spec.name是否为'__main__'或以'.__main__'结尾，若满足且有spec.parent则取spec.parent为name，否则取spec.name
