instance_id	variant	candidate_entities	rendered_entities	source_entities	prefix_source_entities	tail_source_entities	prompt_tokens	context_sha256	prompt_sha256
astropy__astropy-12907	issue	4	4	3	3	0	2099	e23d531a21a09d802d3232b9fb126c63372afcc81b95330f5563a1ef9d655dfb	0e62c18cc25b593824b4d22be13f11fb3bf7de481e24115e67327900075c5bff
astropy__astropy-13033	issue	2	2	2	2	0	2185	da38b3f3863567c2536816d7148c13d772179ee28f163f4019316059fd79f47b	df78092b77398aea24015b3b8cf08b3fca0b835a66db2846bed7b398404d5bcd
astropy__astropy-13236	issue	4	4	2	2	0	2214	6db385802180c2bbc576db20d5f641e7b05849ea101f5581f8209d4c01ca1563	29fe21f611958499891ba48b296392102c38d6bac64d6a0062e44ba41032e1d6
astropy__astropy-13398	issue	2	2	2	2	0	2760	ac3ee82b30d8a6f990836c395ed400115dae5e68916f20cf8624b18e3c095053	8ea66d21672bb3f587342687d7505e888fe134df50c3946a75496e6a653e23ca
astropy__astropy-13453	issue	5	5	4	4	0	3533	45de4b244323143350c74a81b62a6cca24b38a2466e70db06a5d9f31b752e535	5a21113248126213fa66d84875976c7f720009ecd975ae32986f061585f1cc69
astropy__astropy-13579	issue	4	4	2	2	0	3016	85e3b93229a9f4174cfd780c194a47162dceca7b36367ee2d296c18e3bd7ba05	29152a672d6dbce24b7b470763e8a0756639e65b28c2a7cca2d44ba0e0300808
astropy__astropy-13977	issue	3	3	3	3	0	2808	8ad45038c955e5e1b552d49e58a1fda367cb54efe87ca36b94e5cfcb90c75e51	5fe04aeac17364413309acc9a518536c890be453b7d68465fd919d0f6b0f04a8
astropy__astropy-14096	issue	1	1	1	1	0	1328	cd0d6719083768f19d6c90f55a325ad448c0b24f282b80db5df3455e931d7c08	f601c1d4e9dd203f43be6a9d4435dc844215f55ca0fdb2bb5505a680938668ca
astropy__astropy-14182	issue	7	7	4	4	0	2724	78e6d502ff9a7003bfec721f7326a59a5e5fa421da0a78f6225831604a1602d7	87a9e24c1f0b30b7a593028fbdce3542ee3c8b1b0067812487378d53761695e9
astropy__astropy-14309	issue	2	2	2	2	0	2462	16e3fcdac2a12ac847554e48bc7e7054be4e3b84f8eb2c758b1659e8cdb73426	1323f5d4c441be3926e08ad08db9d019c9bca8e5a0180f23bd299227032d62f3
astropy__astropy-14365	issue	2	2	2	2	0	1908	12741d81944c310669f6562cd695a32944c0f3cdfa78fc6ce020f2216f9b9129	59a9313a70ee346dc7f32a453dbad6db8f0c9fc72822f3c020e950fa6d1e798c
