instance_id	variant	nonempty	patch_sha256	result_rows	dataset_source	problem_statement_tokens	first_prompt_profile	context_profile_version	response_prefill	max_retries	generation_extra_body	candidate_entity_count	candidate_file_count	candidate_class_scope_count	first_prompt_rendered_entity_count	first_prompt_source_entity_count	first_prompt_tokens	retry_count	final_status	applied_file_count
astropy__astropy-12907	issue	1	06cd3f31d7f06a30073ecdd11ac2953eb0a19cc626ad9788893e6d635d5418a1	1	temp_run/generated/SWE-bench_Verified.jsonl	322	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	2	1	4	3	2099	0	success	1
astropy__astropy-13033	issue	1	07f57bb3a0aed71a1d8b999531fd77b418e6689e17516d67240a6e2b97bf9865	1	temp_run/generated/SWE-bench_Verified.jsonl	681	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	1	2	2	2185	0	success	1
astropy__astropy-13236	issue	1	d3e96441648b707eb9c1751d8129fae7c4265cdb4f835861edc96e9c4dcfcb6a	1	temp_run/generated/SWE-bench_Verified.jsonl	473	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	1	1	4	2	2214	0	success	1
astropy__astropy-13398	issue	1	4e5438783f604522471847f8b550cfffeaeaa8f910f2cd45e7e720ea1e48b1f3	1	temp_run/generated/SWE-bench_Verified.jsonl	1211	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	1	0	2	2	2760	1	success	1
astropy__astropy-13453	issue	1	fdfdf84e94599178ec5a70965db2bb091af039041224baa8d074b06dfdddd444	1	temp_run/generated/SWE-bench_Verified.jsonl	1197	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	5	3	4	5	4	3533	0	success	1
astropy__astropy-13579	issue	1	c5e19f77fd63480888cd74844b7cc70bd6f8ed424f9e82e5118158c61269102b	1	temp_run/generated/SWE-bench_Verified.jsonl	1209	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	2	4	4	2	3016	1	success	1
astropy__astropy-13977	issue	1	4f33d47592e39fbfb13f9a0100f7870f27e5527948ee5d37275cc2ca23b68970	1	temp_run/generated/SWE-bench_Verified.jsonl	899	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	3	2	0	3	3	2808	0	success	1
astropy__astropy-14096	issue	1	eb9100ebdcd39dc5d1893ff381458661626ec95f419e46915ff37085fb514fb6	1	temp_run/generated/SWE-bench_Verified.jsonl	245	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1328	0	success	1
astropy__astropy-14182	issue	1	9094bf77a487a602fe1632c16ccc1d8844fa9d6cbaf0347b5443bc5fbf69f25d	1	temp_run/generated/SWE-bench_Verified.jsonl	515	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	7	3	5	7	4	2724	0	success	1
astropy__astropy-14309	issue	1	2d8881c703810cdbd577d6df28c2f7e5b925b22d41ae3c8da8efd3f4f138afbc	1	temp_run/generated/SWE-bench_Verified.jsonl	1205	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	0	2	2	2462	0	success	1
astropy__astropy-14365	issue	1	67f0b9968090f837e70b0ee9d80aad1588b2b7323f9f46730229ae68e37038dc	1	temp_run/generated/SWE-bench_Verified.jsonl	446	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	1	1	2	2	1908	0	success	1
astropy__astropy-14369	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	679	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	2	1	4	3	2199	1	failed	0
astropy__astropy-14508	issue	1	90c2e65de3f3d883f7feecb9a94492b6da172d339342c2987cf71047d681a481	1	temp_run/generated/SWE-bench_Verified.jsonl	757	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	5	1	1	5	2	2317	0	success	1
astropy__astropy-14539	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	445	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	0	0	0	0	0	1136	0	failed	0
astropy__astropy-14598	issue	1	45e979c5b872ed054cca5d309695d6dee80638aee4cf494ced4c7658ec835232	1	temp_run/generated/SWE-bench_Verified.jsonl	747	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	5	1	0	5	2	2190	0	success	1
astropy__astropy-14995	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	732	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	3	1	0	3	2	2041	1	failed	0
astropy__astropy-7166	issue	1	b362d3ad010137e1868527b71363c4482453863b3aa8d29e7fd7c1ba0d1b3151	1	temp_run/generated/SWE-bench_Verified.jsonl	38	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	1	2	2	1832	1	success	1
astropy__astropy-7336	issue	1	fe44e2836025a7ba3b7dbde328d6e7beaf734b52a2223ed8bb05793f55edb18a	1	temp_run/generated/SWE-bench_Verified.jsonl	388	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	1	1	1	1830	0	success	1
astropy__astropy-7606	issue	1	e1f885237a2a1846c43b1ef5db321db284a2357eaaeb5b909feb27be8351510d	1	temp_run/generated/SWE-bench_Verified.jsonl	281	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1191	0	success	1
astropy__astropy-7671	issue	1	73e94191d8ed715f28138ba4fb27e462e502aebd5147c3e64b214181411ba4f3	1	temp_run/generated/SWE-bench_Verified.jsonl	508	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1697	0	success	1
