instance_id	variant	nonempty	patch_sha256	result_rows	dataset_source	problem_statement_tokens	first_prompt_profile	context_profile_version	response_prefill	max_retries	generation_extra_body	candidate_entity_count	candidate_file_count	candidate_class_scope_count	first_prompt_rendered_entity_count	first_prompt_source_entity_count	first_prompt_tokens	retry_count	final_status	applied_file_count
astropy__astropy-13236	mural	1	89a193404c40cbcf4ccaecb77c317a52b7c2940fbd88ff821f51c111798d514c	1	SWE-bench_Verified	473	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	14	3	3	14	2	3534	0	success	1
astropy__astropy-13977	mural	1	1f82372d6eb8fd9f8f5cc7d4d7bdc6926a13df4902410d3b22a21cb16c534017	1	SWE-bench_Verified	899	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	4	5	20	2	3999	0	partial	1
astropy__astropy-14096	mural	1	eb9100ebdcd39dc5d1893ff381458661626ec95f419e46915ff37085fb514fb6	1	SWE-bench_Verified	245	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	1	1	20	4	3289	0	success	1
astropy__astropy-14182	mural	1	c5703774dcbb220e7737b4db9424235172ca070799e90f6c312a29dd146f5cbf	1	SWE-bench_Verified	515	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	17	6	5	17	4	3781	0	success	1
astropy__astropy-14508	mural	1	3e3bdc7653c4559045304b06012431171d2b7b44c4b507ded4b62b07ee4fb0bd	1	SWE-bench_Verified	757	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	1	2	20	4	3674	1	success	1
django__django-10880	mural	1	64d9a0c03924c85aebfb9f2145689645b632458586c38ab049ff3f96b6c02255	1	SWE-bench_Verified	59	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	6	3	18	8	3692	0	success	1
django__django-11964	mural	1	73eecb085d903945f1cb08afbac6dd76695a498dedebfc8087b0d9dea28ab959	1	SWE-bench_Verified	518	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	2	13	20	2	3492	0	success	1
django__django-12125	mural	1	ffa7bbd2080e22cd3d7e693dd404900b5713ecf042786f43fb131287628a367b	1	SWE-bench_Verified	367	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	19	5	14	19	6	3650	0	success	1
django__django-12193	mural	1	5cf7acdf3b31c0e68c3942d5d87420d592960518ce1da0d543aefa0a038b0032	1	SWE-bench_Verified	158	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	3	18	20	5	3878	0	success	1
django__django-12419	mural	1	30312c722808683395db2cb4c863259498b8f9a3c28b1a72acf8e7a81d1baf9c	1	SWE-bench_Verified	159	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	16	4	3	16	8	3538	0	success	2
django__django-12754	mural	1	f922576cc095cd8019ef8b4b6492310408c7ca8f5f264cf907585a104322cf04	1	SWE-bench_Verified	188	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	6	5	18	8	3905	0	success	1
django__django-13195	mural	1	4e6db0ea02cbe701f2621197247e31c8c6055855a9bc2468e6fbdff8c8e99fb1	1	SWE-bench_Verified	564	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	1	8	20	4	3375	0	success	1
django__django-13449	mural	1	b087bdba765d9cd94c6baeb6e38d4ecb4db1533e4f371075bc9649db16aece7f	1	SWE-bench_Verified	1209	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	13	8	6	8	2	3958	0	success	1
django__django-13794	mural	1	5589899c9b07271a0ee1d8ed3959eb18945907a44c92285ad8a1461e9147099e	1	SWE-bench_Verified	65	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	18	4	7	18	8	3399	0	success	1
django__django-13809	mural	1	b37e5c661dd85fc9093791e5e4566ff90edbe4d2560ad51807e5288fe7664cc0	1	SWE-bench_Verified	98	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	10	16	20	4	3529	0	partial	2
