annotation_id	instance_id	selected_region_record	review_mode	region_count	exact_entity_regions	fallback_regions	unmatched_regions	final_coverage	changed_regions	match_evidence
GT-001	django__django-13410	annotator_A	exclusive_protocol_review	2	0	2	0	covered	django/core/files/locks.py::django.core.files.locks.lock | django/core/files/locks.py::django.core.files.locks.unlock	explicit_file_fallback:django/core/files/locks.py | explicit_file_fallback:django/core/files/locks.py
GT-002	pylint-dev__pylint-4661	annotator_A	shared_evidence_adjudication	2	0	2	0	covered	pylint/config/__init__.py::模块级导入 | pylint/config/__init__.py::pylint.config	explicit_file_fallback:pylint/config/__init__.py | explicit_file_fallback:pylint/config/__init__.py
GT-003	sympy__sympy-16766	annotator_B	exclusive_protocol_review	1	0	1	0	covered	sympy/printing/pycode.py::sympy.printing.pycode._print_Not(self,expr) sympy.printing.pycode._print_Indexed(self,expr)                       --git a/sympy/printing/pycode.py b/sympy/printing/pycode.py	explicit_file_fallback:sympy/printing/pycode.py
GT-004	django__django-13569	annotator_A	shared_evidence_adjudication	1	0	1	0	covered	django/db/models/functions/math.py::django.db.models.functions.math.Random.get_group_by_cols	explicit_file_fallback:django/db/models/functions/math.py
GT-005	django__django-15161	annotator_A	exclusive_protocol_review	6	0	6	0	covered	django/db/models/expressions.py::django.db.models.expressions.Func | django/db/models/expressions.py::django.db.models.expressions.Value | django/db/models/expressions.py::django.db.models.expressions.ExpressionWrapper | django/db/models/expressions.py::django.db.models.expressions.When | django/db/models/expressions.py::django.db.models.expressions.Case | django/db/models/expressions.py::django.db.models.expressions.OrderBy	explicit_file_fallback:django/db/models/expressions.py | explicit_file_fallback:django/db/models/expressions.py | explicit_file_fallback:django/db/models/expressions.py | explicit_file_fallback:django/db/models/expressions.py | explicit_file_fallback:django/db/models/expressions.py | explicit_file_fallback:django/db/models/expressions.py
GT-006	django__django-16877	annotator_B	exclusive_protocol_review	3	0	3	0	covered	django/template/defaultfilters.py::django.template.defaultfilters.escape_filter(value) | django/template/defaultfilters.py::django.template.defaultfilters.escapeseq(value) | django/template/defaultfilters.py::django.template.defaultfilters.force_escape(value)	explicit_file_fallback:django/template/defaultfilters.py | explicit_file_fallback:django/template/defaultfilters.py | explicit_file_fallback:django/template/defaultfilters.py
GT-007	django__django-16454	annotator_A	exclusive_protocol_review	2	0	2	0	covered	django/core/management/base.py::模块级导入 | django/core/management/base.py::django.core.management.base.CommandParser.add_subparsers	explicit_file_fallback:django/core/management/base.py | explicit_file_fallback:django/core/management/base.py
GT-008	django__django-16819	annotator_A	exclusive_protocol_review	1	0	1	0	covered	django/db/migrations/operations/models.py::django.db.migrations.operations.models.AddIndex.reduce	explicit_file_fallback:django/db/migrations/operations/models.py
GT-009	django__django-13346	annotator_B	exclusive_protocol_review	4	0	4	0	covered	django/db/models/fields/json.py::django.db.models.fields.json.as_sqlite(self, compiler, connection) | django/db/models/fields/json.py::django.db.models.fields.json.process_rhs(self, compiler, connection) | django/db/models/fields/json.py::django.db.models.fields.json.KeyTransformIn(lookups.In) | django/db/models/fields/json.py::django.db.models.fields.json.KeyTransformExact(JSONExact)	explicit_file_fallback:django/db/models/fields/json.py | explicit_file_fallback:django/db/models/fields/json.py | explicit_file_fallback:django/db/models/fields/json.py | explicit_file_fallback:django/db/models/fields/json.py
GT-010	astropy__astropy-14182	annotator_A	exclusive_protocol_review	4	2	2	0	covered	astropy/io/ascii/rst.py::astropy.io.ascii.rst.SimpleRSTData | astropy/io/ascii/rst.py::astropy.io.ascii.rst.RST.init | astropy/io/ascii/rst.py::astropy.io.ascii.rst.RST.write | astropy/io/ascii/rst.py::astropy.io.ascii.rst.RST.read	explicit_file_fallback:astropy/io/ascii/rst.py | exact_entity:RST.__init__ | exact_entity:RST.write | explicit_file_fallback:astropy/io/ascii/rst.py
GT-011	django__django-16263	annotator_A	exclusive_protocol_review	9	6	3	0	covered	django/db/models/expressions.py::django.db.models.expressions.BaseExpression.get_refs | django/db/models/expressions.py::django.db.models.expressions.Ref.get_refs | django/db/models/query_utils.py::django.db.models.query_utils.Q.resolve_expression | django/db/models/query_utils.py::django.db.models.query_utils.refs_expression | django/db/models/sql/query.py::django.db.models.sql.query.Query.get_aggregation | django/db/models/sql/query.py::django.db.models.sql.query.Query.solve_lookup_type | django/db/models/sql/query.py::django.db.models.sql.query.Query.build_filter | django/db/models/sql/query.py::django.db.models.sql.query.Query._add_q | django/db/models/sql/where.py::django.db.models.sql.where.WhereNode.get_refs	explicit_file_fallback:django/db/models/expressions.py | explicit_file_fallback:django/db/models/expressions.py | exact_entity:Q.resolve_expression | exact_entity:refs_expression | exact_entity:Query.get_aggregation | exact_entity:Query.solve_lookup_type | exact_entity:Query.build_filter | exact_entity:Query._add_q | explicit_file_fallback:django/db/models/sql/where.py
GT-012	matplotlib__matplotlib-26342	annotator_B	exclusive_protocol_review	4	2	2	0	covered	lib/matplotlib/collections.py::matplotlib.collections.Collection.set_paths(self, paths) | lib/matplotlib/collections.py::matplotlib.collections.PathCollection.set_paths(self, paths) | lib/matplotlib/collections.py::matplotlib.collections.Collection.put_paths(self) | lib/matplotlib/collections.py::matplotlib.collections.Collection.get_transforms(self)	exact_entity:Collection.set_paths | exact_entity:PathCollection.set_paths | explicit_file_fallback:lib/matplotlib/collections.py | explicit_file_fallback:lib/matplotlib/collections.py
GT-013	pydata__xarray-3095	annotator_A	shared_evidence_adjudication	10	7	3	0	covered	xarray/core/indexing.py::模块级导入 | xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.init | xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.dtype | xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.array | xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.shape | xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.getitem | xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.transpose | xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.repr | xarray/core/indexing.py::xarray.core.indexing.PandasIndexAdapter.copy | xarray/core/variable.py::xarray.core.variable.IndexVariable.copy	explicit_file_fallback:xarray/core/indexing.py | exact_entity:PandasIndexAdapter.__init__ | exact_entity:PandasIndexAdapter.dtype | explicit_file_fallback:xarray/core/indexing.py | exact_entity:PandasIndexAdapter.shape | exact_entity:PandasIndexAdapter.__getitem__ | exact_entity:PandasIndexAdapter.transpose | exact_entity:PandasIndexAdapter.__repr__ | explicit_file_fallback:xarray/core/indexing.py | exact_entity:IndexVariable.copy
