annotator	annotation_id	instance_id	candidate	in_changed_line	exact_receiver	patch_without_candidate	support_role	relation	confidence	rationale
A	SUP-046	pydata__xarray-6744	xarray.core.rolling.Rolling.count	否	否	是	irrelevant	其他	5	补丁+/-行实际调用的是DataArray.count（window为DataArray类型），候选Rolling.count是Rolling类上的同名不同方法，未被补丁调用也未参与数据流，缺失完全不影响补丁实现
A	SUP-020	django__django-13212	django.core.validators.BaseValidator.message	是	否	是	irrelevant	其他	5	补丁实质变更是在各ValidationError调用中统一追加params={'value': value}，使错误消息模板可使用%(value)s占位符。self.message仅为已存在的第一个位置参数，补丁不依赖BaseValidator.message的契约、类型或返回值。self.message指向的是各具体validator类（如RegexValidator）自有的message属性，与BaseValidator.message非同一实体。缺失该候选完全不影响补丁实现
A	SUP-082	sphinx-doc__sphinx-7590	sphinx.domains.cpp.ASTTemplateDeclarationPrefix.describe_signature	是	是	否	irrelevant	其他	4	候选ASTTemplateDeclarationPrefix.describe_signature是补丁直接修改的方法体本身，补丁未在+/-行中调用该候选或消费其返回值/副作用，候选仅是补丁的编辑目标，对补丁其余部分（如ASTUserDefinedLiteral、_parse_literal修改等）不构成数据流或契约依赖
A	SUP-064	pytest-dev__pytest-8399	src._pytest.unittest._is_skipped	否	否	是	irrelevant	其他	5	候选仅在未变化的diff上下文行中被调用，补丁+/-行仅修改fixture名称的字符串字面量（添加下划线前缀），与_is_skipped无数据流、无调用、无契约依赖。缺失该候选完全不影响补丁实现
A	SUP-030	scikit-learn__scikit-learn-10908	scikit-learn.sklearn.feature_extraction.text.VectorizerMixin._check_vocabulary	否	否	是	irrelevant	其他	5	候选_check_vocabulary仅在未变化的diff上下文行中被调用，补丁实际变更行（新增_validate_vocabulary()调用）不调用、不修改、不消费候选的输出。补丁只需确保在已有_check_vocabulary()调用前初始化vocabulary_，不依赖候选的精确实现或契约。缺失候选不影响补丁实现
A	SUP-038	scikit-learn__scikit-learn-10297	scikit-learn.sklearn.linear_model.ridge.RidgeClassifier.fit	否	否	是	irrelevant	其他	5	补丁仅修改RidgeClassifierCV.__init__签名（新增store_cv_values参数并传递给super().__init__）及类文档字符串，不调用、不修改、不消费候选RidgeClassifier.fit的任何输出。候选仅因与修改位置相邻而出现在diff上下文中，无数据流或契约依赖
A	SUP-015	astropy__astropy-13033	astropy.timeseries.core.BaseTimeSeries._required_columns_enabled	否	否	是	irrelevant	其他	5	补丁仅在_check_required_columns方法内改进异常消息格式（显示完整required columns列表而非仅第一个），候选_required_columns_enabled是控制_check_required_columns是否执行的布尔开关，补丁+/-行不修改、不调用、不消费该候选。缺失候选完全不影响补丁实现
A	SUP-062	astropy__astropy-14182	astropy.io.ascii.rst.SimpleRSTHeader.start_line	否	否	是	irrelevant	其他	5	候选SimpleRSTHeader.start_line属于SimpleRSTHeader类，补丁修改的是SimpleRSTData.start_line（删除固定值3）和RST.read（动态设置self.data.start_line），属于不同类的同名属性。补丁不读取、不调用、不依赖候选的值或契约，缺失完全不影响补丁实现
A	SUP-087	astropy__astropy-8707	astropy.io.fits.card._pad	否	否	是	irrelevant	其他	5	候选_pad是Card.fromstring中已有调用路径上的内部函数，补丁+/-行仅在调用_pad之前新增了bytes到str的解码步骤。补丁逻辑只需将bytes先decode再走原有流程，不依赖_pad的具体填充算法或契约。隐藏_pad实现不影响补丁的编写或验证
A	SUP-083	sphinx-doc__sphinx-7590	sphinx.domains.cpp.ASTDeclaratorNameBitField.describe_signature	否	否	是	irrelevant	其他	5	候选ASTDeclaratorNameBitField.describe_signature是sphinx/domains/c.py中C域位域声明的签名描述方法，补丁+/-行全部发生在cpp.py（C++域）和cfamily.py（共享基础设施）以及c.py的_parse_literal方法中。候选不在任何+/-行中，也与UDL解析无关，缺失完全不影响补丁实现
A	SUP-004	pylint-dev__pylint-4551	pylintreverse.inspector.Linker.visit_classdef	否	否	是	irrelevant	其他	5	候选visit_classdef仅在补丁diff上下文行中出现，+/-行删除了try-except包装并将set(node.infer())替换为utils.infer_node(node)，self.visit_classdef(frame)调用本身未被修改、不受影响。补丁不调用、不修改、不消费候选的返回值或副作用，缺失完全不影响补丁实现
