instance_id	variant	nonempty	patch_sha256	result_rows	dataset_source	problem_statement_tokens	first_prompt_profile	context_profile_version	response_prefill	max_retries	generation_extra_body	candidate_entity_count	candidate_file_count	candidate_class_scope_count	first_prompt_rendered_entity_count	first_prompt_source_entity_count	first_prompt_tokens	retry_count	final_status	applied_file_count
astropy__astropy-12907	bm25	1	cc5cebc37e3e381202e8dd1d423a48793a22b422e099d51b00ad9ecbe49fae35	1	temp_run/generated/SWE-bench_Verified.jsonl	322	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	17	3	5	17	6	3381	0	success	1
astropy__astropy-13033	bm25	1	75ff9cd2daf7c68081d7a8368f7b2ee8d16e1d05327bf6f5413a76f391f1061e	1	temp_run/generated/SWE-bench_Verified.jsonl	681	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	13	4	1	13	6	3488	0	success	1
astropy__astropy-13236	bm25	1	b01a07d4c468421c68e044812a2ae86b61ce3314ab61da359be459ad602f93be	1	temp_run/generated/SWE-bench_Verified.jsonl	473	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	14	3	2	14	4	3734	0	success	1
astropy__astropy-13398	bm25	1	d9ab8074c592451b3980b0cc49a6200352d7d9faf52b31cd3fc77d3c8e691826	1	temp_run/generated/SWE-bench_Verified.jsonl	1211	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	12	2	4	12	4	3967	0	success	1
astropy__astropy-13453	bm25	1	c5932f7dc7fe4c12c9baa6e07081226ad1772f6da0fc37df6d8f1c7f59210fb1	1	temp_run/generated/SWE-bench_Verified.jsonl	1197	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	17	7	4	7	2	3335	0	success	1
astropy__astropy-13579	bm25	1	ff7cd02d1d7216b4cdf28b5c37815662786479c81408d493d249549ae5a77c76	1	temp_run/generated/SWE-bench_Verified.jsonl	1209	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	12	3	2	12	4	3843	1	success	1
astropy__astropy-13977	bm25	1	2edee8bb23696f2b4a7d81dcb43fbfe3d2beb33baea4540979b241c5135682d8	1	temp_run/generated/SWE-bench_Verified.jsonl	899	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	7	7	18	2	3981	0	success	1
astropy__astropy-14096	bm25	1	eb9100ebdcd39dc5d1893ff381458661626ec95f419e46915ff37085fb514fb6	1	temp_run/generated/SWE-bench_Verified.jsonl	245	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	3	1	20	2	3998	0	success	1
astropy__astropy-14182	bm25	1	c5703774dcbb220e7737b4db9424235172ca070799e90f6c312a29dd146f5cbf	1	temp_run/generated/SWE-bench_Verified.jsonl	515	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	17	6	5	15	2	3735	0	success	1
astropy__astropy-14309	bm25	1	2555059c9ba338426397bae044cd14fe1db20b240dc0e468bc0b8e433f475775	1	temp_run/generated/SWE-bench_Verified.jsonl	1205	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	20	7	2	16	2	3672	0	success	1
