annotation_id	instance_id	candidate	review_mode	annotator_a_role	annotator_b_role	final_role	decision_basis
SUP-001	astropy__astropy-8707	astropy.io.fits.header.Header.tostring	shared_evidence_adjudication	irrelevant	strong	irrelevant	补丁+行中hdr.tostring()仅为docstring示例中的演示调用，用于说明Header.fromstring的用法。实际补丁代码（Card.fromstring中bytes解码、Header.fromstring中bytes分支处理）完全不调用、不依赖候选Header.tostring的契约或返回值。候选缺失完全不影响补丁实现
SUP-002	sympy__sympy-12096	sympy.core.function.Subs.evalf	exclusive_protocol_review		weak	irrelevant	The changed call may dispatch on arbitrary arguments, not the exact Subs receiver.
SUP-003	django__django-15268	django.db.migrations.operations.models.AlterIndexTogether.option_name	exclusive_protocol_review	irrelevant		irrelevant	候选AlterIndexTogether.option_name是一个值为"index_together"的类属性，补丁不读取、不调用、不修改该属性。补丁新增的can_reduce_through方法通过type(operation) is not type(self)进行类型级别的操作合并判断，完全不需要知晓具体的option_name值。缺失候选对补丁实现无任何影响
SUP-004	pylint-dev__pylint-4551	pylintreverse.inspector.Linker.visit_classdef	shared_evidence_adjudication	irrelevant	required	irrelevant	候选visit_classdef仅在补丁diff上下文行中出现，+/-行删除了try-except包装并将set(node.infer())替换为utils.infer_node(node)，self.visit_classdef(frame)调用本身未被修改、不受影响。补丁不调用、不修改、不消费候选的返回值或副作用，缺失完全不影响补丁实现
SUP-005	sympy__sympy-20801	sympy.core.numbers.EulerGamma._as_mpf_val	exclusive_protocol_review		strong	irrelevant	The candidate occurs in unchanged comparison context; the added zero guard does not depend on it.
SUP-006	psf__requests-5414	requests.models.PreparedRequest._get_idna_encoded_host	shared_evidence_adjudication	irrelevant	required	irrelevant	补丁+/-行仅将elif条件从单独检测*扩展为同时检测*和.开头的主机名，确保两种非法URL格式均被InvalidURL捕获。候选_get_idna_encoded_host在try块内被调用用于IDNA编码，补丁修改的elif分支是except块之后的条件分支，两者无调用关系、无数据流依赖。缺失候选完全不影响补丁实现
SUP-007	pylint-dev__pylint-4551	pylintreverse.diagrams.ClassDiagram.has_node	exclusive_protocol_review		strong	weak	The call is visible in the changed condition, but its membership-check contract is explicit at the call site.
SUP-008	matplotlib__matplotlib-23412	matplotlib.patches.FancyBboxPatch.get_path	shared_evidence_adjudication	irrelevant	strong	irrelevant	候选FancyBboxPatch.get_path是FancyBboxPatch类的方法，补丁修改的是Patch.draw中dash pattern的元组构建逻辑，二者无调用关系、无数据流依赖。缺失候选完全不影响补丁实现
SUP-009	pylint-dev__pylint-6528	pylint.lint.expand_modules.get_python_path	exclusive_protocol_review		required	irrelevant	The unchanged get_python_path call is outside the changed ignore-filter logic.
SUP-010	pytest-dev__pytest-7432	pytest.src._pytest.skipping.Skip.reason	shared_evidence_adjudication	irrelevant	weak	irrelevant	补丁+/-行仅修改控制流关键字（elif→if），使其不再受前面xfail分支条件约束，完全不涉及Skip.reason属性。候选属于Skip类而上下文行中的reason属于Xfail类，对象类型不同。缺失候选完全不影响补丁实现
SUP-011	pylint-dev__pylint-4604	pylint.checkers.variables.VariablesChecker.name	exclusive_protocol_review	irrelevant		irrelevant	补丁+/-行仅在_store_type_annotation_node方法中新增astroid.Attribute类型处理分支（递归处理type_annotation.expr），与之交互的是astroid.Name.name属性。候选人VariablesChecker.name是类级常量，补丁不读取、不调用、不依赖该候选的任何输出或契约。缺失候选完全不影响补丁实现
SUP-012	sympy__sympy-14531	sympy.printing.str.StrPrinter._relationals	exclusive_protocol_review	irrelevant		irrelevant	补丁+/-行仅修改_print_Relational中lhs/rhs的打印方式，通过self._print确保子表达式尊重打印设置，不读取、不调用、不修改候选_relationals，缺失候选完全不影响补丁实现
SUP-013	pydata__xarray-6938	xarray.core.variable.Variable.dims	exclusive_protocol_review		strong	strong	The exact dims property and its backing field determine the replacement of public-property access with _dims.
